Rxn	Genes
R07896_1	[['YGL205W'], ['YGL205W']]
R07896_2	[['YGL205W'], ['YGL205W']]
R01711_1	[['YGR017W'], ['YGR017W']]
R01711_2	[['YBR035C'], ['YBR035C']]
R01711_3	[['YGR017W'], ['YGR017W']]
R00631_1	[['YMR110C'], ['YMR110C'], ['YMR110C']]
R00631_2	[['YMR110C'], ['YMR110C'], ['YMR110C']]
R00631_3	[['YMR110C'], ['YMR169C'], ['YMR170C'], ['YOR374W'], ['YPL061W'], ['YMR110C'], ['YMR110C'], ['YMR169C'], ['YMR169C'], ['YMR170C'], ['YMR170C'], ['YOR374W'], ['YOR374W'], ['YPL061W'], ['YPL061W']]
R00631_4	[['YMR110C'], ['YMR110C'], ['YMR110C']]
R00631_5	[['YER073W'], ['YMR110C'], ['YOR374W'], ['YPL061W'], ['YER073W'], ['YER073W'], ['YMR110C'], ['YMR110C'], ['YOR374W'], ['YOR374W'], ['YPL061W'], ['YPL061W']]
R07002_1	[['YIR038C'], ['YIR038C']]
R07002_2	[['YIR038C'], ['YIR038C']]
R07002_3	[['YIR038C'], ['YIR038C']]
R07002_4	[['YNL229C'], ['YNL229C']]
R07002_5	[['YIR038C'], ['YIR038C']]
R07002_6	[['YIR038C'], ['YIR038C']]
R07002_7	[['YIR038C'], ['YIR038C']]
R00158_1	[['YKL024C'], ['YKL024C']]
R00158_2	[['YKL024C'], ['YKL024C']]
R00516_1	[['YDR020C'], ['YNR012W'], ['YDR020C'], ['YNR012W']]
R00516_2	[['YDR020C'], ['YNR012W'], ['YDR020C'], ['YNR012W']]
R03084_1	[['YDR127W'], ['YDR127W']]
R02222_1	[['YGL055W'], ['YGL055W']]
R02222_2	[['YGL055W'], ['YGL055W']]
R06258_1	[['YBL082C'], ['YBL082C']]
R06258_2	[['YBL082C'], ['YBL082C']]
R06258_3	[['YBL082C'], ['YBL082C']]
R00717_1	[['YNL274C'], ['YNL274C'], ['YNL274C']]
R00717_2	[['YNL274C'], ['YNL274C'], ['YNL274C']]
R00717_3	[['YNL274C'], ['YNL274C'], ['YNL274C']]
R11679_1	[['YBR115C'], ['YBR115C'], ['YBR115C']]
R01005_1	[['YPL227C'], ['YPL227C']]
R01005_2	[['YPL227C'], ['YPL227C']]
R01826_1	[['YBR249C'], ['YDR035W'], ['YBR249C'], ['YDR035W']]
R01826_2	[['YBR249C'], ['YDR035W'], ['YBR249C'], ['YDR035W']]
R01826_3	[['YDR035W'], ['YDR035W']]
R07759_1	[['YBR159W'], ['YBR159W'], ['YBR159W']]
R07759_2	[['YBR159W'], ['YBR159W'], ['YBR159W']]
R07759_3	[['YBR159W'], ['YBR159W'], ['YBR159W']]
R12356_1	[['YGL205W'], ['YGL205W']]
R12356_2	[['YGL205W'], ['YGL205W']]
R02480_1	[['YAL039C'], ['YKL087C'], ['YAL039C'], ['YKL087C']]
R02480_2	[['YAL039C'], ['YKL087C'], ['YAL039C'], ['YKL087C']]
R03920_1	[['YGL253W'], ['YGL253W']]
R03920_2	[['YCL040W'], ['YCL040W']]
R03920_3	[['YGL253W'], ['YGL253W']]
R03920_4	[['YCL040W'], ['YDR516C'], ['YFR053C'], ['YGL253W'], ['YLR446W'], ['YCL040W'], ['YDR516C'], ['YFR053C'], ['YGL253W'], ['YLR446W']]
R03920_5	[['YCL040W'], ['YDR516C'], ['YFR053C'], ['YGL253W'], ['YLR446W'], ['YCL040W'], ['YDR516C'], ['YFR053C'], ['YGL253W'], ['YLR446W']]
R00715_1	[['YIR034C'], ['YIR034C'], ['YIR034C']]
R00715_2	[['YIR034C'], ['YIR034C'], ['YIR034C']]
R02568_1	[['YKL060C'], ['YKL060C']]
R02568_2	[['YKL060C'], ['YKL060C']]
R01909_1	[['YEL029C'], ['YNR027W'], ['YEL029C'], ['YNR027W']]
R01909_2	[['YEL029C'], ['YNR027W'], ['YEL029C'], ['YNR027W']]
R02026_1	[['YJR130C'], ['YLL058W'], ['YML082W'], ['YJR130C'], ['YLL058W'], ['YML082W']]
R02026_2	[['YJR130C'], ['YLL058W'], ['YML082W'], ['YJR130C'], ['YLL058W'], ['YML082W']]
R01326_1	[['YGL253W'], ['YGL253W']]
R01326_2	[['YCL040W'], ['YCL040W']]
R01326_3	[['YGL253W'], ['YGL253W']]
R01326_4	[['YCL040W'], ['YDR516C'], ['YFR053C'], ['YGL253W'], ['YLR446W'], ['YCL040W'], ['YDR516C'], ['YFR053C'], ['YGL253W'], ['YLR446W']]
R01326_5	[['YCL040W'], ['YDR516C'], ['YFR053C'], ['YGL253W'], ['YLR446W'], ['YCL040W'], ['YDR516C'], ['YFR053C'], ['YGL253W'], ['YLR446W']]
R01061_1	[['YGR192C'], ['YJL052W'], ['YJR009C'], ['YGR192C'], ['YGR192C'], ['YJL052W'], ['YJL052W'], ['YJR009C'], ['YJR009C']]
R01061_2	[['YGR192C'], ['YJR009C'], ['YGR192C'], ['YGR192C'], ['YJR009C'], ['YJR009C']]
