Rxn	Genes	GPR rule
R_CotraspArgCitrB	[['84329'], ['5663'], ['684'], ['114134'], ['6582'], ['55858'], ['121260'], ['6565'], ['6564'], ['140679'], ['55238'], ['81539'], ['124565'], ['54407'], ['153201'], ['153129'], ['6510'], ['79751'], ['83884'], ['10166'], ['9016'], ['9481'], ['253512'], ['7350'], ['7351'], ['7352'], ['6576'], ['123096'], ['6542'], ['6541'], ['9057'], ['8140'], ['83959'], ['6548'], ['10479'], ['6550'], ['285195'], ['84679'], ['133308'], ['150159'], ['285335'], ['1497'], ['54896'], ['1183'], ['6556'], ['5243'], ['6890'], ['6891'], ['23457'], ['127124'], ['245973'], ['50617'], ['51606'], ['523'], ['525'], ['526'], ['528'], ['529'], ['535'], ['9114'], ['9296'], ['9550'], ['125965'], ['1327'], ['1329'], ['1339'], ['1346'], ['1347'], ['1350'], ['1351'], ['170712'], ['341947'], ['4512'], ['4513'], ['4514'], ['51241'], ['84701'], ['9377'], ['177'], ['25825'], ['5225'], ['6010'], ['6382'], ['3117'], ['3119'], ['972'], ['3105'], ['567'], ['6892'], ['10269']]	((121260 and 51606) or (1350 and 3119 and 125965 and 1329 and 1347 and 3117 and 4513 and 4514 and 1351 and 1346 and 1339 and 9377 and 51606) or (1350 and 125965 and 1347 and 4513 and 4514 and 1351 and 4512 and 1339 and 1346 and 9377 and 51606) or (1350 and 125965 and 1347 and 9550 and 4513 and 4514 and 1351 and 1346 and 1339 and 9377 and 51606) or (1350 and 3119 and 125965 and 127124 and 3117 and 1347 and 4513 and 1351 and 1346 and 1339 and 9377 and 51606) or (1350 and 3119 and 127124 and 1329 and 1347 and 3117 and 4513 and 1351 and 1346 and 1339 and 1327 and 9377 and 51606) or (3119 and 50617 and 127124 and 170712 and 3117 and 51606 and 4513) or (1339 and 1350 and 127124 and 1329 and 1347 and 4513 and 1351 and 341947 and 4512 and 1346 and 9377 and 51606) or (525 and 9114 and 127124 and 51606) or (526 and 9114 and 127124 and 51606) or (529 and 127124 and 9114 and 535 and 51606) or (3119 and 50617 and 127124 and 5663 and 3117 and 51606) or (1350 and 3119 and 127124 and 1329 and 1347 and 3117 and 4513 and 1351 and 84701 and 1339 and 1346 and 9377 and 51606) or (50617 and 127124 and 9114 and 9296 and 51606) or (1350 and 1329 and 1347 and 9550 and 4513 and 50617 and 4514 and 1351 and 1346 and 1339 and 9377 and 51606) or (1350 and 1329 and 1347 and 9550 and 4513 and 4514 and 1351 and 1346 and 1339 and 535 and 9377 and 51606) or (1350 and 8140 and 1329 and 1347 and 4513 and 4514 and 1351 and 84701 and 1339 and 1346 and 9377 and 51606) or (50617 and 127124 and 245973 and 9114 and 51606) or (245973 and 9114 and 535 and 51606) or (25825 and 51606) or (3119 and 6892 and 3105 and 535 and 3117 and 51606) or (6892 and 4512 and 3105 and 535 and 51606) or (567 and 3105 and 535 and 51606) or (6892 and 6890 and 3105 and 535 and 51606) or (3105 and 8140 and 6892 and 51606) or (6892 and 3105 and 535 and 51606 and 9550) or (1350 and 3119 and 3117 and 1347 and 4513 and 4514 and 1351 and 341947 and 1339 and 1346 and 9377 and 51606) or (3119 and 523 and 51606) or (3119 and 5663 and 3117 and 51606 and 972) or (1350 and 1329 and 1347 and 4513 and 4514 and 1351 and 4512 and 1339 and 1346 and 1327 and 9377 and 51606) or (50617 and 4514 and 4512 and 170712 and 51606 and 4513) or (50617 and 6548 and 51606) or (6890 and 6891 and 50617 and 51606) or (4513 and 51241 and 51606) or (1183 and 51606) or (153129 and 51606) or (51606 and 177) or (253512 and 51606) or (285335 and 51606) or (5243 and 51606) or (6010 and 4513 and 535 and 51606) or (6382 and 51606) or (8140 and 6510 and 51606) or (51606 and 6550) or (6564 and 51606) or (51606 and 6565) or (684 and 51606) or (7350 and 51606) or (525 and 9114 and 9550) or (9114 and 50617 and 528 and 51606) or (528 and 9114 and 535) or (529 and 9114 and 50617 and 51606) or (3119 and 4514 and 170712 and 3117 and 535 and 4513) or (4514 and 5663 and 535 and 9550) or (535 and 6548) or (6890 and 6891 and 6892 and 535) or (7351 and 535) or (9114 and 535 and 9296) or (5663 and 4514 and 4512) or (567 and 3117 and 1327 and 51606 and 4513) or (567 and 50617 and 51606) or (567 and 523) or (567 and 3117 and 84701 and 4513) or (6010 and 50617) or (3119 and 3117 and 6510 and 535) or (6510 and 535 and 4512) or (6510 and 9550) or (6541 and 51606) or (7351 and 50617) or (8140 and 125965 and 1347 and 4513 and 4514 and 1351 and 1346 and 1339 and 9377) or (8140 and 1329 and 1347 and 4513 and 4514 and 1351 and 1346 and 1339 and 1327 and 9377) or (170712 and 8140 and 4514 and 4513) or (8140 and 4513 and 4514 and 1351 and 341947 and 1339 and 1346 and 9377) or (8140 and 5663) or (84679 and 51606) or (4514 and 4512 and 84701 and 9377 and 4513) or (523 and 9114) or (1339 and 4514 and 9550 and 1346 and 1327 and 4513) or (170712 and 4513 and 4514 and 9550) or (4513 and 4514 and 341947 and 9550) or (84701 and 9550)) or 150159 or 133308 or 79751 or 83884 or 6556 or 114134 or 123096 or 140679 or 55858 or 9016 or 9481 or 81539 or 285195 or 10269 or 9057 or 124565 or 23457 or 6582 or 83959 or 55238 or 10166 or 54896 or 6542 or 1497 or 10479 or 5225 or 84329 or 54407 or 7352 or 153201 or 6576
R_UniportArginine	[['84329'], ['5663'], ['684'], ['114134'], ['6582'], ['55858'], ['121260'], ['6565'], ['6564'], ['140679'], ['55238'], ['81539'], ['124565'], ['54407'], ['153201'], ['153129'], ['6510'], ['79751'], ['83884'], ['9016'], ['9481'], ['253512'], ['7350'], ['7351'], ['7352'], ['6576'], ['123096'], ['6542'], ['6541'], ['9057'], ['8140'], ['83959'], ['6548'], ['10479'], ['6550'], ['285195'], ['84679'], ['133308'], ['150159'], ['285335'], ['1497'], ['54896'], ['1183'], ['6556'], ['5243'], ['6890'], ['6891'], ['23457'], ['127124'], ['245973'], ['50617'], ['51606'], ['523'], ['525'], ['526'], ['528'], ['529'], ['535'], ['9114'], ['9296'], ['9550'], ['125965'], ['1327'], ['1329'], ['1339'], ['1346'], ['1347'], ['1350'], ['1351'], ['170712'], ['341947'], ['4512'], ['4513'], ['4514'], ['51241'], ['84701'], ['9377'], ['177'], ['25825'], ['5225'], ['6010'], ['6382'], ['3117'], ['3119'], ['972'], ['3105'], ['567'], ['6892'], ['10269']]	((121260 and 51606) or (1350 and 3119 and 125965 and 1329 and 1347 and 3117 and 4513 and 4514 and 1351 and 1346 and 1339 and 9377 and 51606) or (1350 and 125965 and 1347 and 4513 and 4514 and 1351 and 4512 and 1339 and 1346 and 9377 and 51606) or (1350 and 125965 and 1347 and 9550 and 4513 and 4514 and 1351 and 1346 and 1339 and 9377 and 51606) or (1350 and 3119 and 125965 and 127124 and 3117 and 1347 and 4513 and 1351 and 1346 and 1339 and 9377 and 51606) or (1350 and 3119 and 127124 and 1329 and 1347 and 3117 and 4513 and 1351 and 1346 and 1339 and 1327 and 9377 and 51606) or (3119 and 50617 and 127124 and 170712 and 3117 and 51606 and 4513) or (1339 and 1350 and 127124 and 1329 and 1347 and 4513 and 1351 and 341947 and 4512 and 1346 and 9377 and 51606) or (525 and 9114 and 127124 and 51606) or (526 and 9114 and 127124 and 51606) or (529 and 127124 and 9114 and 535 and 51606) or (3119 and 50617 and 127124 and 5663 and 3117 and 51606) or (1350 and 3119 and 127124 and 1329 and 1347 and 3117 and 4513 and 1351 and 84701 and 1339 and 1346 and 9377 and 51606) or (50617 and 127124 and 9114 and 9296 and 51606) or (1350 and 1329 and 1347 and 9550 and 4513 and 50617 and 4514 and 1351 and 1346 and 1339 and 9377 and 51606) or (1350 and 1329 and 1347 and 9550 and 4513 and 4514 and 1351 and 1346 and 1339 and 535 and 9377 and 51606) or (1350 and 8140 and 1329 and 1347 and 4513 and 4514 and 1351 and 84701 and 1339 and 1346 and 9377 and 51606) or (50617 and 127124 and 245973 and 9114 and 51606) or (245973 and 9114 and 535 and 51606) or (25825 and 51606) or (3119 and 6892 and 3105 and 535 and 3117 and 51606) or (6892 and 4512 and 3105 and 535 and 51606) or (567 and 3105 and 535 and 51606) or (6892 and 6890 and 3105 and 535 and 51606) or (3105 and 8140 and 6892 and 51606) or (6892 and 3105 and 535 and 51606 and 9550) or (1350 and 3119 and 3117 and 1347 and 4513 and 4514 and 1351 and 341947 and 1339 and 1346 and 9377 and 51606) or (3119 and 523 and 51606) or (3119 and 5663 and 3117 and 51606 and 972) or (1350 and 1329 and 1347 and 4513 and 4514 and 1351 and 4512 and 1339 and 1346 and 1327 and 9377 and 51606) or (50617 and 4514 and 4512 and 170712 and 51606 and 4513) or (50617 and 6548 and 51606) or (6890 and 6891 and 50617 and 51606) or (4513 and 51241 and 51606) or (1183 and 51606) or (153129 and 51606) or (51606 and 177) or (253512 and 51606) or (285335 and 51606) or (5243 and 51606) or (6010 and 4513 and 535 and 51606) or (6382 and 51606) or (8140 and 6510 and 51606) or (51606 and 6550) or (6564 and 51606) or (51606 and 6565) or (684 and 51606) or (7350 and 51606) or (525 and 9114 and 9550) or (9114 and 50617 and 528 and 51606) or (528 and 9114 and 535) or (529 and 9114 and 50617 and 51606) or (3119 and 4514 and 170712 and 3117 and 535 and 4513) or (4514 and 5663 and 535 and 9550) or (535 and 6548) or (6890 and 6891 and 6892 and 535) or (7351 and 535) or (9114 and 535 and 9296) or (5663 and 4514 and 4512) or (567 and 3117 and 1327 and 51606 and 4513) or (567 and 50617 and 51606) or (567 and 523) or (567 and 3117 and 84701 and 4513) or (6010 and 50617) or (3119 and 3117 and 6510 and 535) or (6510 and 535 and 4512) or (6510 and 9550) or (6541 and 51606) or (7351 and 50617) or (8140 and 125965 and 1347 and 4513 and 4514 and 1351 and 1346 and 1339 and 9377) or (8140 and 1329 and 1347 and 4513 and 4514 and 1351 and 1346 and 1339 and 1327 and 9377) or (170712 and 8140 and 4514 and 4513) or (8140 and 4513 and 4514 and 1351 and 341947 and 1339 and 1346 and 9377) or (8140 and 5663) or (84679 and 51606) or (4514 and 4512 and 84701 and 9377 and 4513) or (523 and 9114) or (1339 and 4514 and 9550 and 1346 and 1327 and 4513) or (170712 and 4513 and 4514 and 9550) or (4513 and 4514 and 341947 and 9550) or (84701 and 9550)) or 150159 or 133308 or 79751 or 83884 or 6556 or 114134 or 123096 or 140679 or 55858 or 9016 or 9481 or 81539 or 285195 or 10269 or 9057 or 124565 or 23457 or 6582 or 83959 or 55238 or 54896 or 6542 or 1497 or 10479 or 5225 or 84329 or 54407 or 7352 or 153201 or 6576
R_UniportCitrulline	[['84329'], ['684'], ['114134'], ['55858'], ['6564'], ['140679'], ['55238'], ['81539'], ['124565'], ['54407'], ['153201'], ['153129'], ['6510'], ['79751'], ['83884'], ['10166'], ['9016'], ['9481'], ['253512'], ['7350'], ['7351'], ['7352'], ['6576'], ['6542'], ['9057'], ['8140'], ['83959'], ['6548'], ['10479'], ['6550'], ['285195'], ['84679'], ['133308'], ['150159'], ['285335'], ['1497'], ['1183'], ['6556'], ['127124'], ['245973'], ['50617'], ['51606'], ['523'], ['525'], ['526'], ['528'], ['529'], ['535'], ['9114'], ['9296'], ['9550'], ['125965'], ['1327'], ['1329'], ['1339'], ['1346'], ['1347'], ['1350'], ['1351'], ['170712'], ['341947'], ['4512'], ['4513'], ['4514'], ['51241'], ['84701'], ['9377'], ['6010']]	((1183 and 51606) or (1350 and 125965 and 127124 and 1329 and 1347 and 4513 and 1351 and 4512 and 1339 and 1346 and 9377 and 51606) or (1350 and 125965 and 1329 and 1347 and 9550 and 4513 and 4514 and 1351 and 1346 and 1339 and 9377 and 51606) or (1350 and 127124 and 1329 and 1347 and 4513 and 1351 and 341947 and 1339 and 1346 and 4512 and 9377 and 51606) or (526 and 9114 and 127124 and 51606) or (1350 and 127124 and 1329 and 1347 and 4513 and 1351 and 1346 and 1339 and 4512 and 1327 and 9377 and 51606) or (1350 and 1329 and 1347 and 9550 and 4513 and 4514 and 1351 and 1346 and 1339 and 1327 and 9377 and 51606) or (1350 and 1329 and 1347 and 9550 and 4513 and 50617 and 4514 and 1351 and 1346 and 1339 and 9377 and 51606) or (1350 and 1329 and 1347 and 9550 and 4513 and 4514 and 1351 and 1346 and 1339 and 535 and 9377 and 51606) or (1350 and 1329 and 1347 and 9550 and 4513 and 4514 and 1351 and 84701 and 1339 and 1346 and 9377 and 51606) or (153129 and 51606) or (127124 and 4512 and 170712 and 535 and 51606 and 4513) or (4514 and 4512 and 170712 and 535 and 51606 and 4513) or (50617 and 127124 and 245973 and 9114 and 51606) or (245973 and 9114 and 535 and 51606) or (253512 and 51606) or (6510 and 535 and 4512 and 51606) or (1350 and 127124 and 1347 and 4513 and 1351 and 84701 and 4512 and 9377 and 51606) or (1350 and 8140 and 1347 and 4513 and 4514 and 1351 and 341947 and 9377 and 51606) or (50617 and 4512 and 170712 and 51606 and 4513) or (9114 and 50617 and 528 and 51606) or (50617 and 6548 and 51606) or (50617 and 127124 and 9114 and 9296 and 51606) or (4513 and 51241 and 51606) or (285335 and 51606) or (51606 and 6550) or (684 and 51606) or (7350 and 51606) or (523 and 9114 and 51606) or (525 and 9114 and 127124 and 51606) or (525 and 9114 and 51606 and 9550) or (9114 and 528 and 535 and 51606) or (529 and 50617 and 127124 and 9114 and 51606) or (529 and 9114 and 535 and 51606) or (127124 and 9114 and 535 and 9296 and 51606) or (6010 and 50617 and 51606 and 4513) or (6010 and 535) or (535 and 6548) or (6564 and 51606) or (7351 and 50617) or (7351 and 535) or (1350 and 8140 and 125965 and 1329 and 1347 and 4513 and 1351 and 1346 and 1339 and 9377 and 51606) or (1350 and 8140 and 1329 and 1347 and 4513 and 1351 and 1346 and 1339 and 1327 and 9377 and 51606) or (170712 and 8140 and 51606 and 4513) or (8140 and 6510) or (1350 and 8140 and 1347 and 4513 and 4514 and 1351 and 84701 and 9377 and 51606) or (84679 and 51606) or (9550 and 170712 and 535 and 51606 and 4513) or (51606 and 4513 and 341947 and 9550) or (6510 and 9550)) or 133308 or 150159 or 79751 or 83884 or 6556 or 114134 or 140679 or 55858 or 9016 or 9481 or 81539 or 285195 or 9057 or 124565 or 83959 or 55238 or 10166 or 6542 or 1497 or 10479 or 84329 or 54407 or 7352 or 153201 or 6576
R_ATPmaintenance	[['953'], ['954'], ['509', '539', '9551'], ['51382', '51606', '527', '528', '529', '533', '535', '8992', '9114', '9296', '9550'], ['10146'], ['10212'], ['10521'], ['10856'], ['10973'], ['1105'], ['1106'], ['1107'], ['1108'], ['11218'], ['11269'], ['11325'], ['113510'], ['122402'], ['164045'], ['1653'], ['1654'], ['1655'], ['165545'], ['1656'], ['1659'], ['1660'], ['1662'], ['1663'], ['166378'], ['1665'], ['168400'], ['170506'], ['1763'], ['1861'], ['1973'], ['1974'], ['2068'], ['2071'], ['22880'], ['22907'], ['23132'], ['23347'], ['23517'], ['23586'], ['254394'], ['26038'], ['27183'], ['27348'], ['29028'], ['29118'], ['2963'], ['3309'], ['3508'], ['4171'], ['4172'], ['4173'], ['4174'], ['4175'], ['4176'], ['4343'], ['4905'], ['51428'], ['51750'], ['54456'], ['54505'], ['54514'], ['54555'], ['546'], ['54617'], ['54821'], ['55308'], ['55510'], ['55601'], ['55636'], ['55661'], ['55794'], ['56652'], ['56897'], ['56916'], ['56919'], ['57647'], ['57680'], ['57696'], ['57697'], ['5965'], ['60625'], ['63979'], ['641'], ['64135'], ['64794'], ['64848'], ['6832'], ['7415'], ['7486'], ['79039'], ['79132'], ['7919'], ['79665'], ['80007'], ['80119'], ['80205'], ['81570'], ['83479'], ['83990'], ['84181'], ['8438'], ['8449'], ['84515'], ['84893'], ['84896'], ['8607'], ['8653'], ['89797'], ['90957'], ['91351'], ['91646'], ['9188'], ['92797'], ['9400'], ['9401'], ['9416'], ['9525'], ['9557'], ['9775'], ['506'], ['523']]	((3508 and 8607 and 10856 and 51606) or (51606 and 535 and 10856 and 8607) or (54617 and 8607 and 10856 and 51606) or (10146 and 10973 and 51606) or (1660 and 10973 and 1654 and 51606) or (54821 and 10973 and 535 and 51606 and 9550) or (10973 and 535 and 51606 and 57697) or (10973 and 535 and 51606 and 6832) or (1108 and 1107 and 51606) or (1108 and 535 and 51606) or (535 and 11269 and 51606) or (122402 and 54456 and 51606) or (54514 and 122402 and 51606) or (1653 and 9188 and 170506 and 51606) or (1655 and 535 and 1665 and 51606) or (51750 and 1656 and 51606) or (1660 and 523 and 2963 and 51606) or (535 and 9550 and 1663 and 51606) or (535 and 170506 and 51606) or (1974 and 535 and 51606 and 9550) or (2068 and 2071 and 51606) or (23517 and 535 and 9550 and 51606) or (27348 and 51606) or (6832 and 535 and 2963 and 51606) or (79132 and 2963 and 51606) or (9400 and 2963 and 51606) or (4175 and 4174 and 4171 and 4172 and 4176 and 535 and 4173 and 51606) or (1660 and 535 and 4172 and 51606) or (4175 and 4173 and 254394 and 4172 and 4176 and 535 and 4174 and 51606) or (1660 and 506 and 535 and 51606 and 9550) or (9551 and 509 and 539 and 535 and 51606 and 9550) or (51382 and 533 and 8992 and 9550 and 529 and 528 and 527 and 9114 and 535 and 9296 and 51606) or (9114 and 523 and 51382 and 51606) or (7919 and 10212 and 51606) or (10521 and 535 and 51606) or (1105 and 51606) or (51606 and 1106) or (11218 and 51606) or (11325 and 51606) or (113510 and 51606) or (1659 and 51606) or (166378 and 535 and 51606) or (51606 and 641 and 1763) or (1861 and 51606) or (51606 and 1973) or (51606 and 22880) or (22907 and 51606) or (23132 and 51606) or (23347 and 51606) or (535 and 23586 and 9550 and 51606) or (27183 and 535 and 9525 and 51606) or (29028 and 51606) or (3309 and 535 and 51606) or (4343 and 51606) or (51606 and 4905) or (51428 and 51606) or (535 and 51606 and 546) or (55601 and 51606) or (55661 and 51606) or (56652 and 51606) or (7486 and 56897 and 51606) or (535 and 51606 and 56916) or (56919 and 1654 and 51606) or (57647 and 51606) or (55636 and 57680 and 51606) or (5965 and 51606) or (63979 and 51606) or (64135 and 51606) or (64848 and 51606) or (535 and 51606 and 7415) or (80007 and 51606) or (80119 and 51606) or (81570 and 51606) or (83479 and 51606) or (83990 and 51606) or (84181 and 51606) or (8449 and 51606) or (254394 and 84515 and 535 and 51606) or (84893 and 9400 and 51606) or (84896 and 51606) or (92797 and 523 and 51606) or (9401 and 51606) or (535 and 9416 and 51606) or (9557 and 51606) or (9775 and 51606) or (54617 and 523 and 8607) or (523 and 57697) or (523 and 527) or (533 and 523) or (535 and 1656) or (535 and 26038) or (7919 and 535) or (535 and 91646) or (55794 and 22907) or (6832 and 641) or (64794 and 51606) or (1660 and 7486) or (6832 and 7486) or (79039 and 535 and 51606) or (80205 and 51606) or (8438 and 51606) or (509 and 8607) or (523 and 8992) or (9400 and 4172) or (9400 and 506) or (9551 and 506 and 9550) or (9551 and 523) or (9551 and 84893)) or 55308 or 168400 or 164045 or 57696 or 953 or 54555 or 91351 or 954 or 29118 or 79665 or 54505 or 55510 or 165545 or 89797 or 90957 or 1662 or 8653 or 60625
R_SLC25A1	[['84329'], ['684'], ['114134'], ['55858'], ['6564'], ['140679'], ['153201'], ['79751'], ['83884'], ['8402'], ['89874'], ['1468'], ['9016'], ['9481'], ['253512'], ['7350'], ['7351'], ['7352'], ['6576'], ['83959'], ['6548'], ['10479'], ['6550'], ['285195'], ['84679'], ['133308'], ['150159'], ['285335'], ['1497'], ['64849'], ['9058'], ['284111'], ['1183'], ['6556'], ['127124'], ['245973'], ['50617'], ['51606'], ['523'], ['525'], ['526'], ['528'], ['529'], ['535'], ['9114'], ['9296'], ['9550'], ['125965'], ['1327'], ['1329'], ['1339'], ['1346'], ['1347'], ['1350'], ['1351'], ['170712'], ['341947'], ['4512'], ['4513'], ['4514'], ['51241'], ['84701'], ['9377'], ['6010']]	((1183 and 51606) or (1350 and 125965 and 127124 and 1329 and 1347 and 4513 and 1351 and 4512 and 1339 and 1346 and 9377 and 51606) or (1350 and 125965 and 1329 and 1347 and 9550 and 4513 and 4514 and 1351 and 1346 and 1339 and 9377 and 51606) or (1350 and 127124 and 1329 and 1347 and 4513 and 1351 and 341947 and 1339 and 1346 and 4512 and 9377 and 51606) or (526 and 9114 and 127124 and 51606) or (1350 and 127124 and 1329 and 1347 and 4513 and 1351 and 1346 and 1339 and 4512 and 1327 and 9377 and 51606) or (1350 and 1329 and 1347 and 9550 and 4513 and 4514 and 1351 and 1346 and 1339 and 1327 and 9377 and 51606) or (1350 and 1329 and 1347 and 9550 and 4513 and 50617 and 4514 and 1351 and 1346 and 1339 and 9377 and 51606) or (1350 and 1329 and 1347 and 9550 and 4513 and 4514 and 1351 and 1346 and 1339 and 535 and 9377 and 51606) or (1350 and 1329 and 1347 and 9550 and 4513 and 4514 and 1351 and 84701 and 1339 and 1346 and 9377 and 51606) or (127124 and 4512 and 170712 and 535 and 51606 and 4513) or (4514 and 4512 and 170712 and 535 and 51606 and 4513) or (50617 and 127124 and 245973 and 9114 and 51606) or (245973 and 9114 and 535 and 51606) or (253512 and 51606) or (1350 and 127124 and 1347 and 4513 and 1351 and 84701 and 4512 and 9377 and 51606) or (4514 and 341947 and 4512 and 9377 and 51606 and 4513) or (50617 and 4512 and 170712 and 51606 and 4513) or (9114 and 50617 and 528 and 51606) or (50617 and 6548 and 51606) or (50617 and 127124 and 9114 and 9296 and 51606) or (4513 and 51241 and 51606) or (285335 and 51606) or (51606 and 6550) or (684 and 51606) or (7350 and 51606) or (523 and 9114 and 51606) or (525 and 9114 and 127124 and 51606) or (525 and 9114 and 51606 and 9550) or (9114 and 528 and 535 and 51606) or (529 and 50617 and 127124 and 9114 and 51606) or (529 and 9114 and 535 and 51606) or (127124 and 9114 and 535 and 9296 and 51606) or (6010 and 50617 and 51606 and 4513) or (6010 and 535) or (535 and 6548) or (6564 and 51606) or (7351 and 50617) or (7351 and 535) or (84679 and 51606) or (9550 and 170712 and 535 and 51606 and 4513) or (51606 and 4513 and 341947 and 9550)) or 133308 or 150159 or 1468 or 8402 or 79751 or 64849 or 284111 or 83884 or 6556 or 114134 or 140679 or 55858 or 9016 or 9481 or 285195 or 9058 or 83959 or 1497 or 89874 or 10479 or 84329 or 7352 or 153201 or 6576
R_SLC25A11	[['8402'], ['89874'], ['1468'], ['9016'], ['253512'], ['6576'], ['64849'], ['9058'], ['284111']]	9058 or 89874 or 1468 or 9016 or 253512 or 64849 or 284111 or 8402 or 6576
R_SLC25A16	[['284439'], ['8034'], ['10478']]	284439 or 8034 or 10478
R_palmitateActivation	[['11001'], ['81616'], ['23205'], ['2182'], ['2181'], ['10999'], ['116285']]	2182 or 81616 or 10999 or 2181 or 23205 or 116285 or 11001
R_carnitineAcylTransferaseI	[['126129']]	(126129)
R_translocase	[['6582'], ['1374']]	1374 or 6582
R_carnitineAcylTransferaseII	[['1374'], ['1375'], ['126129'], ['1376']]	1374 or 126129 or 1375 or 1376
R_betaOxidation	[]	
R_biomass_synthesis	[]	
