RxnId	EC number
R01280	['K01897', '3.1.4.12', 'K01897', '3.1.3.36', 'K01897', '4.1.1.15', 'K01897', '2.4.1.109']
R02541	['K12351', '1.5.1.2']
R01248	['K00286']
R01251	['K00286']
R03291	['K00286']
R03293	['K00286', '2.7.8.8']
R01800	['K17103', '3.1.3.106']
R11527	['K23736', '3.3.1.1']
R00192	['K01251']
R04936	['K01251', '2.7.2.4']
R00480	['K00928', '2.4.2.17']
R01071	['K00765', '2.3.1.179', '2.3.1.179']
R02768	['K09458']
R04355	['K09458', 'K00667']
R04726	['K09458', 'K00667']
R04952	['K09458', 'K00667']
R04957	['K09458', 'K00667']
R04960	['K09458', 'K00667']
R04963	['K09458', 'K00667']
R04968	['K09458', 'K00667']
R10115	['K09458']
R10119	['K09458', '3.1.3.21']
R00841	['K06116', '4.1.3.1', 'K06116', '1.3.1.22']
R00479	['K01637', '1.2.1.38', 'K01637', '3.2.1.28']
R02649	['K12659', 'K12659']
R03443	['K12659', '2.7.2.8', 'K12659', '1.17.4.1']
R02017	['K10807', 'K10808', 'K10807', 'K10808']
R02019	['K10807', 'K10808', 'K10807', 'K10808']
R02024	['K10807', 'K10808', 'K10807', 'K10808']
R08363	['K10807', 'K10808', 'K10807', 'K10808']
R08364	['K10807', 'K10808', 'K10807', 'K10808']
R11893	['K10807', '1.2.1.3', 'K10808', '1.2.1.12', 'K10807', '3.1.3.21', 'K10808', '4.6.1.1']
R00264	['K00128', 'K00128', 'K00128', 'K00128', 'K00128', 'K00128']
R00631	['K00128', 'K00128', 'K00128', 'K00128', 'K00128', 'K00128']
R00710	['K00128', 'K00128', 'K00128', 'K00128', 'K00128', 'K00128']
R00904	['K00128', 'K00128', 'K00128', 'K00128', 'K00128', 'K00128']
R01752	['K00128', 'K00128', 'K00128', 'K00128', 'K00128', 'K00128']
R01986	['K00128', 'K00128', 'K00128', 'K00128', 'K00128', 'K00128']
R02549	['K00128', 'K00128', 'K00128', 'K00128', 'K00128', 'K00128']
R02678	['K00128', 'K00128', 'K00128', 'K00128', 'K00128', 'K00128']
R02940	['K00128', 'K00128', 'K00128', 'K00128', 'K00128', 'K00128']
R02957	['K00128', 'K00128', 'K00128', 'K00128', 'K00128', 'K00128']
R03283	['K00128', 'K00128', 'K00128', 'K00128', 'K00128', 'K00128']
R03869	['K00128', 'K00128', 'K00128', 'K00128', 'K00128', 'K00128']
R04065	['K00128', 'K00128', 'K00128', 'K00128', 'K00128', 'K00128']
R04506	['K00128', 'K00128', 'K00128', 'K00128', 'K00128', 'K00128']
R04903	['K00128', 'K00128', 'K00128', 'K00128', 'K00128', 'K00128']
R05050	['K00128', 'K00128', 'K00128', 'K00128', 'K00128', 'K00128']
R05237	['K00128', 'K00128', 'K00128', 'K00128', 'K00128', 'K00128']
R05238	['K00128', 'K00128', 'K00128', 'K00128', 'K00128', 'K00128']
R05286	['K00128', 'K00128', 'K00128', 'K00128', 'K00128', 'K00128']
R06366	['K00128', 'K00128', 'K00128', 'K00128', 'K00128', 'K00128']
R08146	['K00128', '1.1.1.95', 'K00128', '6.3.2.12', 'K00128', '1.2.1.3', 'K00128', '1.4.4.2', 'K00128', '1.4.1.4', 'K00128', '2.4.1.232', '2.4.1.232']
R01513	['K00058', '1.1.1.399', 'K00058', '4.3.1.19', 'K00058', '1.1.1.399', 'K00058', '1.17.4.1']
R00985	['K01657', 'K01656', 'K01656']
R00986	['K01657', '2.1.1.14', 'K01656', 'K01656']
R04405	['K00549']
R09365	['K00549', '2.7.6.1']
R07412	['K02259', '4.3.2.7']
R11861	['K07232', '2.7.4.3']
R02301	['K01934', '4.2.1.69']
R00778	['K06035', '4.3.3.6', 'K06035', '4.3.3.6']
R07456	['K08681', 'K06215', 'K08681', 'K06215', 'K08681', 'K06215']
R10089	['K08681', '4.3.3.6', 'K06215', 'K08681', '4.3.3.6', 'K06215', '5.1.3.15', 'K08681', '4.3.3.6', 'K06215']
R01011	['K00863', 'K00863', 'K00863', 'K00863', 'K00863', 'K00863']
R01059	['K00863', '2.7.1.29', 'K00863', '4.6.1.15', 'K00863', '5.4.2.8', 'K00863', '2.7.1.29', 'K00863', '4.6.1.15', 'K00863', '3.1.1.5']
R01818	['K17497', '2.6.1.44']
R00369	['K00830', 'K00830', 'K00830']
R00372	['K00830', 'K00830', 'K00830']
R00585	['K00830', 'K00830', 'K00830']
R00588	['K00830', '2.6.1.45', 'K00830', '2.6.1.51', 'K00830', '1.8.1.4']
R01698	['K00382']
R03815	['K00382']
R07618	['K00382']
R02058	['K00621', '2.4.1.11']
R00292	['K00693', '2.7.1.150', 'K00750', 'K00750', 'K00693', '2.7.1.91', '2.7.1.91']
R05802	['K00921']
R10951	['K00921', '3.1.3.15']
R03013	['K04486', '1.8.1.2']
R00858	['K00380', '2.4.2.19', 'K00381', '1.1.1.3']
R03348	['K00767', '2.7.1.1']
R01286	['K01760', 'K01760']
R04941	['K01760', 'K01760']
R12188	['K01760', '1.1.1.1', 'K01760', '3.2.1.24', '3.2.1.24']
R00191	['K01120', 'K01120']
R01234	['K01120', '6.1.1.17', 'K01120', '1.2.1.3']
R05578	['K01885', '6.3.4.13', 'K01885', '3.1.1.5']
R04144	['K11788', 'K11788']
R04208	['K11788', '6.3.3.1', 'K11788']
R01175	['K00232']
R01279	['K00232']
R03777	['K00232']
R03857	['K00232']
R03990	['K00232']
R04751	['K00232']
R04754	['K00232']
R07888	['K00232']
R07892	['K00232']
R07896	['K00232']
R07934	['K00232']
R07950	['K00232']
R12356	['K00232', '2.6.1.57']
R00694	['K00838', 'K00838', 'K00838', 'K00838', 'K05821', 'K05821', 'K00817', 'K14455', 'K14454']
R00734	['K00838', 'K00838', 'K00838', 'K00838', 'K05821', 'K05821', 'K00817', 'K14455', 'K14454']
R01939	['K00838', '2.6.1.39', 'K00838', '2.6.1.27', 'K00838', '2.6.1.5', 'K00838', '4.3.1.18']
R00221	['K20498', '4.4.1.13']
R08717	['4.2.3.5']
R01714	['K01736', '1.5.1.53']
R01224	['K25004', '3.6.1.22', 'K25004', '2.3.1.286']
R00103	['K03426']
R03004	['K03426']
R11104	['K03426', '2.4.1.132']
R05973	['K03843', 'K03843']
R06238	['K03843', '2.4.1.257', 'K03843', '6.4.1.1']
R02222	['K00507']
R12173	['K00507', '2.4.1.141']
R00036	['K01698', '2.4.1.232', '2.4.1.232']
R08599	['K05528', '3.5.1.19']
R01268	['K01440', '3.2.1.106']
R05979	['K01228', '4.2.1.20']
R02722	['K01694', '2.4.99.18']
R04216	['K07151']
R05641	['K00223', '4.2.1.33']
R03968	['K01702']
R04001	['K01702']
R10170	['K01702', '1.1.1.170']
R07494	['K07748']
R12404	['K07748', '2.7.7.14']
R02038	['K00967']
R04247	['K00967', '2.7.7.1']
R00897	['K01738', 'K17069', 'K17069']
R03601	['K01738']
R04859	['K01738', 'K17069', '2.5.1.47', 'K17069', '4.2.1.3']
R07274	['K01738', '1.4.3.5']
R00908	['K13524', 'K13524']
