MetaCycId	NcbiId	Uniprot	Accessions	Names	Product	Product_types
|G-9711|			[]	['frhG']	['|MONOMER-12649|']	['|ENZYME|']
|G-44097|	8105838		['TSTA_117800']	['tsR5', 'tropC', 'TSTA_117800']	['|MONOMER-19388|']	[]
|G-92|	1119480		['CA_C3298']	['CA_C3298', 'bdhB']	['|BDHBCLOS-MONOMER|']	[]
|G3O-34034|			['YPL135W']	['YPL135W', 'ISU1']	['|G3O-34034-MONOMER|']	[]
|G-15289|			[]	['HQ630883']	['|MONOMER-17562|']	[]
|G-11406|			[]	['Pstk']	['|MONOMER-14957|']	[]
|EG11426|			['b3624', 'ECK3614']	['b3624', 'ECK3614', 'rfaZ', 'waaZ']	['|EG11426-MONOMER|']	[]
|G-7144|	3343119		[]	['metX']	['|MONOMER-9447|']	['|ENZYME|']
|G18NG-12642|	1020962		['cg3349']	['ncgl2918', 'cg3349', 'Cgl3021', 'nagL']	['|G18NG-12642-MONOMER|']	[]
|G-257|			[]	['linA']	['|LINAPSEPA-MONOMER|']	[]
|G-2932|			[]	['orfY']	['|MONOMER-3872|']	['|ENZYME|']
|G-10901|			[]	['3&beta;-HSD']	['|MONOMER-14271|']	[]
|G-12072|			[]	['dpaAa']	['|MONOMER-15715|']	[]
|G-44568|			[]	['bmoB']	['|MONOMER-19860|']	[]
|EG12438|			['b2263', 'ECK2257']	['yfbB', 'b2263', 'ECK2257', 'menH']	['|EG12438-MONOMER|']	[]
|AT5G57190|			['AT5G57190']	['PSD2', 'AT5G57190']	['|MONOMER-20230|', '|MONOMER-20231|', '|AT5G57190-MONOMER|']	[]
|G-44744|			[]	['LPMO9A']	['|MONOMER-20044|']	[]
|HS01329|	2222		[]	['FDFT1', 'DGPT']	['|HS01329-MONOMER|']	[]
|EG10049|			['b0980', 'ECK0971']	['b0980', 'appA', 'ECK0971']	['|APPA-MONOMER|']	[]
|G-10271|			[]	['abfD']	['|MONOMER-13485|']	['|ENZYME|']
|AT1G70560|	843393		[]	['SAV3', 'WEI8', 'TAA1']	['|AT1G70560-MONOMER|']	[]
|AT3G19160|			[]	['at3g19160', 'IPT8', 'isopentenyltransferase8']	['|AT3G19160-MONOMER|']	['|ENZYME|']
